trail_id,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews
10020048,24.8931,15610.598,1161.8976,5,out and back,3,5,423
10236086,18.0311,6920.162,507.7968,3,out and back,1,4.5,260
10267857,17.7821,2896.812,81.9912,1,out and back,3,4.5,224
10236076,16.2674,3379.614,119.7864,1,loop,2,4.5,237
10236082,12.5935,29772.79,1124.712,5,out and back,1,4.5,110
10241620,8.8331,11265.38,1178.9664,5,out and back,1,4.5,43
10236080,7.6876,7081.096,287.7312,3,out and back,1,4,39
10236075,5.9038,2574.944,62.7888,3,loop,1,4,27
10236084,5.8885,4667.086,113.9952,1,loop,1,4.5,21
10327620,5.799,6598.294,507.7968,5,loop,1,4.5,5
10265252,5.6536,7402.964,295.9608,1,out and back,2,4,17
10333556,4.6043,4828.02,158.8008,3,loop,2,4.5,15
10265251,4.1956,1448.406,46.9392,3,out and back,2,4.5,6
10393562,3.958,61476.788,1292.9616,5,out and back,1,4.5,3
10262541,3.8939,1770.274,33.8328,1,loop,2,4.5,14
10358126,3.6654,6759.228,538.8864,5,out and back,1,5,8
10236078,3.4891,1448.406,52.7304,1,out and back,1,4,11
10343441,3.3846,5471.756,214.884,1,out and back,2,4,13
10023165,3.304,14644.994,730.9104,3,out and back,,4.5,5
10333569,2.7746,15771.532,1385.9256,5,point to point,2,5,5
10347459,2.4937,4667.086,63.7032,1,out and back,2,4.5,4
10302108,2.33,11104.446,266.7,1,out and back,1,3,7
10333558,2.0877,1448.406,33.8328,3,loop,2,3,4
10513937,2.0328,4828.02,225.8568,3,out and back,1,4,5
10333557,1.8986,643.736,23.7744,1,loop,2,3,6
10302122,1.86,9495.106,141.732,1,out and back,1,3.5,4
10265266,1.803,13679.39,397.764,3,out and back,2,0,0
10302112,1.3701,1770.274,19.812,1,out and back,1,3.5,4
10302114,1.3415,20116.75,117.9576,3,out and back,1,4,2
10187810,37.4791,28485.318,1525.8288,5,out and back,3,5,670
10016964,36.2709,4988.954,358.7496,3,out and back,3,5,489
10237812,33.256,8690.436,635.8128,5,out and back,3,4.5,454
10245012,31.6323,26875.978,1400.8608,5,point to point,3,5,519
10265905,28.8685,2896.812,210.9216,3,out and back,3,5,455
10266148,28.2035,8690.436,106.9848,1,out and back,3,4.5,342
10094721,24.0229,34761.744,1614.8304,5,point to point,3,5,217
10026816,22.7206,3379.614,45.72,1,out and back,1,5,224
10235665,22.5006,19633.948,961.9488,5,out and back,3,5,262
10266521,22.1688,8690.436,602.8944,5,out and back,2,5,229
10016127,21.652,20599.552,169.7736,1,point to point,3,4.5,158
10034910,20.8545,9012.304,326.7456,3,out and back,2,4.5,259
10337353,20.0835,4667.086,349.9104,3,out and back,3,4.5,238
10013850,19.8228,1448.406,43.8912,1,out and back,3,4.5,142
10031380,18.8699,12713.786,567.8424,3,loop,3,4.5,229
10304374,16.7412,13196.588,896.7216,5,out and back,3,5,61
10236025,15.5733,1448.406,32.9184,1,loop,3,4.5,163
10013966,15.5,11426.314,560.832,3,out and back,2,4.5,135
10004120,14.8144,18668.344,1188.72,7,loop,2,5,62
10006500,14.7746,24783.836,1567.8912,5,out and back,2,4.5,88
10259347,14.7248,8851.37,726.948,3,out and back,1,5,97
10041313,14.6866,13518.456,1071.9816,5,out and back,2,4.5,80
